id,ua_browser,ua_mobile,client,ordertotal,totalitems,partialip,productid,productname
,Chrome,FALSE,targetcom,67.14,6,107.10.121,49160849,Peach Skin Valance - Khaki
,Safari,FALSE,targetcom,299.9,11,172.249.161,14714006,Promotional Gift Card $5
,Firefox,FALSE,targetcom,56.98,2,50.151.83,17301588,Boppy Pillow Blue Whales
,Firefox,FALSE,targetcom,45.67,3,99.182.46,16728601,Summer Infant&amp;#174; Health and Grooming Kit - Blue
,Firefox,FALSE,targetcom,55.47,11,67.161.51,13156085,Barilla Farfalle Pasta 16 oz
,Firefox,FALSE,targetcom,19.98,1,69.142.12,14885691,8-Opening Frame White 4&amp;quot;x6&amp;quot; - Room Essentials&amp;trade;
,Chrome,FALSE,targetcom,74.98,2,50.142.78,50042902,Epicurean BBQ Board - Etched Cow w/Juice Groove
,Chrome,FALSE,targetcom,142.38,9,73.229.147,21422508,Soap Pump Mirror Finish- Threshold&amp;trade;
,Chrome,FALSE,targetcom,142.38,9,73.229.147,50794631,Bath Basket Threshold&amp;trade;
,Safari,FALSE,targetcom,131.99,1,72.209.62,16230679,Threshold&amp;trade; Dot Tile Rug
,Mobile Safari,TRUE,targetcom,14.99,1,73.223.163,14121811,Alpine Sleepsoft Earplugs - White
,Chrome,FALSE,targetcom,17.38,2,174.67.237,11292430,Purina Tidy Cats Non-Clumping Cat Litter 24/7 Performance for Multiple Cats 25 lb. Bag
,Chrome,FALSE,targetcom,69.98,2,76.113.147,16879120,Miles From Tomorrowland  Stellosphere
,Safari,FALSE,targetcom,122.97,2,50.25.63,16527586,Fire Sense Outdoor Square Fire Pit Vinyl Cover
,Chrome,FALSE,targetcom,132.94,2,98.109.170,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,206.43,4,73.242.226,16947218,Pillow Perfect Kosala Mist Floor Pillow
,Safari,FALSE,targetcom,53.98,2,174.23.122,50497610,Surya Sandford Throw - (50&amp;quot; x 60&amp;quot;)
,Safari,FALSE,targetcom,49.57,7,98.223.210,12819009,St. Ives Blackhead Clearing Green Tea Scrub 6 oz
,Safari,FALSE,targetcom,25.71,4,73.233.216,14779179,Nivea In-Shower Nourishing Body Lotion - 13.5 oz
,Chrome,FALSE,targetcom,78.62,8,172.12.52,16293294,Munchkin Love-a-Bowls&amp;trade; 10 Piece Set
,Chrome,FALSE,targetcom,124.96,4,98.114.104,50591298,Gingham Kitchen Rug Red/Blue - Threshold &amp;trade;
,Firefox,FALSE,targetcom,39.96,5,98.242.81,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,67.99,1,96.39.129,15745048,Chevron Herringbone Duvet Set -Threshold&amp;trade;
,Chrome,FALSE,targetcom,31.16,4,174.63.235,16728597,Summer Infant&amp;#174; Nail Clipper Set
,Chrome,FALSE,targetcom,131.94,10,71.103.244,13198882,Pyrex 11 Piece Easy Grab Bake N Store Set
,Chrome,FALSE,targetcom,50,1,71.90.36,51159234,Xbox Digital Gift Card $50 (Email Delivery)
,Safari,FALSE,targetcom,33.98,2,173.21.236,50269266,C9 Champion&amp;#174; Power Core&amp;#174; Compression Cami Sports Bra
,Firefox,FALSE,targetcom,35.98,2,100.8.125,50534888,BeMaternity&amp;#174; by Ingrid &amp; Isabel&amp;#174; - BeBand
,Other,FALSE,targetcom,43.95,5,158.82.194,13054882,Tide Free and Gentle High Efficiency Liquid Laundry Detergent - 100 oz
,Chrome,FALSE,targetcom,69.99,1,65.130.209,13778603,Philips Avent 3-in-1 Electric Steam Sterilizer
,Chrome,FALSE,targetcom,52.42,6,69.73.220,13937417,Caress Passionate Spell Passionfruit &amp; Fiery Orange Rose Body Wash - 18 oz
,Chrome,FALSE,targetcom,77.67,1,187.216.126,15742317,Comfort Rx Gel Foam 2&amp;quot; Topper
,Firefox,FALSE,targetcom,339.98,4,41.57.101,16599145,Fitbit Charge HR Heart Rate and Activity Tracker &amp; Sleep Wristband Small - Plum (FB405PMST)
,Chrome,FALSE,targetcom,29.18,2,76.220.29,563127,Fisher-Price Laugh &amp; Learn Smart Stages Puppy
,Chrome,FALSE,targetcom,128.96,2,70.122.243,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,71.94,3,68.34.35,51216274,Nature Made Fish Oil Adult Gummy
,Chrome,FALSE,targetcom,29.75,3,73.202.186,13347903,Ricola Natural Herb Cough Drops - 50 Count
,Chrome,FALSE,targetcom,431.69,4,68.45.68,15029411,Felton Tufted Chair Pewter - Threshold&amp;trade;
,Chrome,FALSE,targetcom,30,3,103.245.242,15424022,Skype $10.00 - (email delivery)
,Chrome,FALSE,targetcom,104.95,5,67.172.236,17215236,Deluxe Outfit Party Whirl - Our Generation&amp;trade;
,Chrome,FALSE,targetcom,128.15,4,186.185.158,14896886,Huggies&amp;#174; Natural Care&amp;#174; Baby Wipes Refill (624 Count)
,Safari,FALSE,targetcom,59.98,1,201.6.229,15084238,Devine Color Cable Stitch Peel &amp; Stick Wallpaper - Black &amp; White
,Chrome,FALSE,targetcom,78.62,8,172.12.52,11189915,Medela 3pk 8oz Breastmilk Bottle Set
,Chrome,FALSE,targetcom,359.99,1,67.161.32,34842379,Campbell Faux Wood Fire Dining Table
,Firefox,FALSE,targetcom,48.67,2,108.199.129,50245827,Sterilite&amp;#174; 3 Wide Weave Drawer Tower - Espresso and Driftwood
,Chrome,FALSE,targetcom,66.49,1,68.9.149,16748335,Safavieh Rug Pad
,Chrome,FALSE,targetcom,26.37,4,173.73.81,14375423,Garnier&amp;#174; Skin Renew Miracle Skin Perfector BB Cream: Combination to Oily Skin - 2 fl oz
,Chrome,FALSE,targetcom,22.99,1,24.148.75,14652206,White Resin Table Lamp
,Chrome,FALSE,targetcom,30.99,2,104.235.111,16964957,LEGO&amp;#174; Super Heroes The Hulk Buster Smash 76031
,Chrome,FALSE,targetcom,104.33,6,68.106.4,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,31.58,2,73.151.16,13389382,Cetaphil RESTORADERM Skin Restoring Body Moisturizer
,Safari,FALSE,targetcom,65.56,4,99.97.113,15178615,Schwinn Cable Bike Lock - 6 Feet
,Chrome,FALSE,targetcom,26.46,3,63.248.217,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,131.95,4,173.27.109,14783935,Pampers Swaddlers Sensitive Diapers Super Pack (Select Size)
,Chrome,FALSE,targetcom,26.06,4,97.104.165,13220876,New England Coffee Ground Coffee 11oz
,Safari,FALSE,targetcom,29.98,2,45.20.184,13574461,Gerber Newborn 10 Pack Gauze Prefold Diaper - White
,Chrome,FALSE,targetcom,2000,10,76.174.138,16671280,Bullseye Box Gift Card
,Safari,FALSE,targetcom,215.98,2,68.9.176,14176499,Ergobaby Original 3 Position Bundle of Joy - Galaxy Grey
,Chrome,FALSE,targetcom,127.95,6,173.27.109,15122174,Pampers Swaddlers Diapers Giant Pack (Select Size)
,Chrome,FALSE,targetcom,125,5,72.66.102,15014120,$25 iTunes Code (email delivery)
,Firefox,FALSE,targetcom,62.52,2,107.220.171,14347988,Coleman&amp;#174; ComfortSmart&amp;trade; Air Mattress - Single High Full
,IE,FALSE,targetcom,48.99,1,76.31.126,17439165,Sky Viper Stunt Drone
,Firefox,FALSE,targetcom,48.98,2,50.123.224,17078389,Fisher-Price Laugh &amp; Learn Smart Stages Scooter
,Chrome,FALSE,targetcom,30,2,73.170.65,14714006,Promotional Gift Card $5
,Other,FALSE,targetcom,68.98,1,107.5.130,13808888,Stansport 2 Person Sea Cloud Vinyl Boat Kit - Yellow/Blue
,Chrome,FALSE,targetcom,62.64,8,162.199.244,14898081,Ball&amp;#174; Set of 12 Half Pint (8 oz.) Mason Jars
,Chrome,FALSE,targetcom,31.36,3,76.98.204,12651769,Neutrogena&amp;#174; Oil-Free Acne Wash Daily Scrub- 4.2 Oz
,Chrome,FALSE,targetcom,455.94,1,73.139.194,16944372,Open Back 24&amp;quot; Counter Stool Hardwood - Threshold&amp;trade;
,Other,FALSE,targetcom,34.37,5,68.103.204,13400436,Heinz Tomato Ketchup 38 oz
,Chrome,FALSE,targetcom,35.96,1,73.83.47,50253259,Fabric Cube Storage Bin 13&amp;quot; - Threshold
,Chrome,FALSE,targetcom,29.46,7,24.250.189,17081491,"Pentel&amp;#174; R.S.V.P. Ballpoint Stick Pen, Black Ink, Medium, Dozen"
,Chrome,FALSE,targetcom,36.89,1,75.134.215,14104950,Jersey Futon Slipcovers
,Chrome,FALSE,targetcom,23.09,1,73.26.132,49161081,Reversible Pet Cover Microfiber SOFA in Chocolate/Tan
,Firefox,FALSE,targetcom,103.97,4,98.167.87,17234954,Threshold&amp;trade;&amp;trade; Farm Animal Flour Sack Kitchen Towel
,Chrome,FALSE,targetcom,41.57,3,75.139.153,14490968,totes&amp;#174; Auto Open Umbrella - Black
,Chrome,FALSE,targetcom,89.97,4,190.237.143,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,32.34,2,108.167.102,12964164,Hanging Loose Shower Curtain
,Chrome,FALSE,targetcom,89.99,1,184.89.243,18828575,Guardzilla Wireless All-In-One Video Security Surveillance System - Black (GZ502B)
,Chrome,FALSE,targetcom,35.49,2,199.7.209,50909163,Conair Black Conair BB Massaging Seat
,Chrome,FALSE,targetcom,72.48,2,75.72.244,50655323,Room Essentials&amp;trade; Plush Shag Rug
,Chrome,FALSE,targetcom,27.99,1,24.14.107,14335054,Sure Fit Stretch Pique Slipcovers
,Firefox,FALSE,targetcom,90.97,2,173.215.127,14668023,Poise Long Ultimate Absorbency Pads - 45 Count
,Safari,FALSE,targetcom,61.98,2,70.122.160,16622121,Room Essentials&amp;trade; Textured Solid Comforter Set
,Chrome,FALSE,targetcom,100,1,114.46.118,15014122,$100 iTunes Code (email delivery)
,Other,FALSE,targetcom,30.98,3,199.244.214,14714006,Promotional Gift Card $5
,Firefox,FALSE,targetcom,27.38,3,73.176.213,13821437,Energizer Basic AA/AAA Battery Charger (CHVCWB2)
,Safari,FALSE,targetcom,60.68,7,104.48.188,16935215,Short Turner with Silicone Tip - Black
,Safari,FALSE,targetcom,100,1,76.112.62,47984832,Disney Gift Card - $100
,Firefox,FALSE,targetcom,64.59,1,76.176.128,15130830,Wicker Large Storage Trunk - Dark Global Brown - Threshold&amp;trade;
,Chrome,FALSE,targetcom,60,4,216.45.82,16671308,Bright Flower Gift Card
,Safari,FALSE,targetcom,125.93,6,5.156.142,51217185,Oatmega Chocolate Mint Chip Omega-3 Protein Bars
,IE,FALSE,targetcom,128.96,2,67.244.5,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,42.38,3,173.21.120,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,69.97,2,108.197.218,13043763,Set/3 Duraflame Stax Firelogs
,Chrome,FALSE,targetcom,33.18,2,98.216.212,10650761,Summer Infant Elite DuoMat 2-in-1 Seat Protector - Black
,Chrome,FALSE,targetcom,51.96,4,67.223.198,14778967,Purina Fancy Feast Classic Seafood Feast Variety Cat Food 24-3 oz. Cans
,Safari,FALSE,targetcom,64.97,3,104.48.188,14172050,Threshold&amp;trade; 5-Sectioned Serving Platter - White
,Chrome,FALSE,targetcom,48.16,5,173.59.97,13943261,Swiffer Sweeper Dry Sweeping Pad Refills for Floor mop Unscented 37 Count
,Chrome,FALSE,targetcom,27.91,3,99.38.228,13789540,I Can Share ( Karen Katz Lift-the-Flap Books) (Hardcover)
,Chrome,FALSE,targetcom,17.99,1,69.131.142,14979081,PlayStation Plus 3 Month Subscription (email delivery)
,Chrome,FALSE,targetcom,8.99,1,73.147.60,49177996,AZO Urinary Tract Defense  - 24 Count
,Other,FALSE,targetcom,73.48,2,71.49.104,14217233,Performance 400 Thread Count Sheet Set - Solid - Threshold&amp;trade;
,Safari,FALSE,targetcom,27.38,2,32.212.34,12963481,86g Super Heavyweight Hangers Off-White (18pk)
,Chrome,FALSE,targetcom,25,1,186.94.19,15672286,Bass Pro Shops&amp;#174; $25 Gift Card (email delivery)
,Safari,FALSE,targetcom,220.74,14,70.119.68,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,126.95,4,173.27.109,14721323,Pampers Sensitive Baby Wipes - 576 Count
,Firefox,FALSE,targetcom,143.85,5,108.233.153,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,215.45,4,73.41.142,16680591,Honey-Can-Do Paper Rope Hamper
,Chrome,FALSE,targetcom,34.22,2,87.146.151,14567764,OGX Anti-breakage Keratin Oil Shampoo 13oz.
,Chrome,FALSE,targetcom,114.97,3,99.116.221,17439076,Room Essentials&amp;trade; Global Stripe Pillow (18x18&amp;quot;)
,Chrome,FALSE,targetcom,497.69,2,73.134.130,14667014,Heatherstone Wicker Patio Sectional Storage Ottoman - Threshold&amp;trade;
,Firefox,FALSE,targetcom,89.99,1,24.130.26,595184,Farberware Classic 16&amp;#45;qt&amp;#46; Covered Stockpot
,Mobile Safari,TRUE,targetcom,99.74,6,87.66.198,14113106,Sonia Kashuk&amp;#174; Eye Shadow Quads
,Firefox,FALSE,targetcom,79.99,2,70.199.195,12046478,U.S. Traveler Rio 2pc Expandable Carry On Luggage Set - Blue
,Safari,FALSE,targetcom,55.48,2,66.108.233,50343159,Yarn Dye Stripe Ringspun Cotton Blanket - Threshold&amp;trade;
,Safari,FALSE,targetcom,245.38,12,162.199.221,14972516,"Cesar Canine Cuisine Savory Delights Chicken and Filet Mignon Flavor Wet Dog Food 3.5 oz, 12 pack"
,Chrome,FALSE,targetcom,43.76,5,97.83.128,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,124.96,4,98.114.104,44362301,18&amp;quot;x30&amp;quot; Outdoor Doormat - Navy Whale - Threshold&amp;trade;
,Safari,FALSE,targetcom,34.99,1,108.214.10,15122174,Pampers Swaddlers Diapers Giant Pack (Select Size)
,Safari,FALSE,targetcom,236.95,4,66.234.222,50076179,Arrow Shelf - Pillowfort&amp;trade;
,Chrome,FALSE,targetcom,49.98,1,148.75.74,50890851,Pampers Easy Ups Girls Training Pants
,Safari,FALSE,targetcom,30.83,2,173.73.166,13623411,Goody&amp;#174; Start. Style. Finish.&amp;trade; Ceramic Round Brush with Gel Handle
,Safari,FALSE,targetcom,40.32,2,72.226.101,10597507,Melissa &amp; Doug&amp;#174; Bug Jug Fill and Spill
,Chrome Mobile iOS,TRUE,targetcom,57.38,2,68.191.49,14872935,Simply Shabby Chic&amp;#174; Sheet Set
,Chrome,FALSE,targetcom,160.65,5,74.71.143,14714009,Promotional Gift Card $25
,Other,FALSE,targetcom,220.85,4,72.196.117,14872935,Simply Shabby Chic&amp;#174; Sheet Set
,Chrome,FALSE,targetcom,144.95,5,64.121.73,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,34.99,1,64.134.67,50832074,Melissa &amp; Doug&amp;#174; Cocker Spaniel - Plush
,Firefox,FALSE,targetcom,33.87,13,86.184.67,23974600,"Plastic Folders with Prongs, 9&amp;quot; x 11.75&amp;quot;, 2 Pocket - up &amp; up&amp;#174;"
,Safari,FALSE,targetcom,96.78,7,24.90.246,14678548,Threshold&amp;trade; Percale Pillowcase Set
,Mobile Safari,TRUE,targetcom,33.98,2,70.70.206,50252699,Astronaut Shower Curtain Calm Gray - Pillowfort&amp;trade;
,IE,FALSE,targetcom,29.95,3,216.239.172,11008828,Eye Shadow Applicator - 24 ct - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,39.99,1,24.63.193,16185590,Jensen Portable Bluetooth Music System with CD Player - Silver (CD-555A)
,Chrome,FALSE,targetcom,34.25,4,209.6.168,12708369,Repel Lemon Eucalyptus Insect Repellent Spray
,Safari,FALSE,targetcom,133.55,5,66.91.246,14695714,Just Wireless One-Piece iPhone Wall Charger with Lightning Connector - Black
,Chrome,FALSE,targetcom,14.69,1,69.244.42,14284871,
,Chrome,FALSE,targetcom,34.99,1,65.111.54,14133699,Robinson 29&amp;quot; Barstool Metal/Brown - Cheyenne Products
,Safari,FALSE,targetcom,745.44,4,73.210.120,16513784,Hollywood Mirrored Side Table
,Chrome,FALSE,targetcom,33.24,1,67.163.243,16409356,Owen End Table Brown/Teal - Altra
,Chrome,FALSE,targetcom,113.95,3,73.163.39,17314850,Darley Bookcase - Vintage Oak - Threshold&amp;trade;
,Other,FALSE,targetcom,59.98,2,68.107.118,16224461,Stainless Steel Non Skid Mixing Bowl Set of 3 - Threshold&amp;trade;
,Chrome,FALSE,targetcom,26.46,3,63.248.217,14791674,Aveeno&amp;#174; Daily Moisturizing Lotion - 1 Fl Oz
,Chrome,FALSE,targetcom,13.29,1,173.164.52,13973172,300 Thread Count Ultra Soft Fitted Sheet - Threshold&amp;trade;
,Chrome,FALSE,targetcom,199.98,1,50.82.88,18807110,Bluetooth Headset - Motorola Sliver II - Black
,Safari,FALSE,targetcom,145.95,5,69.138.177,14783999,Pampers Swaddlers Diapers Super Pack (Select Size)
,Safari,FALSE,targetcom,1079.96,4,76.17.204,17042574,Polywood&amp;#174; St Croix Patio Adirondack Chair - Exclusively At Target
,Chrome,FALSE,targetcom,77.96,3,69.121.117,16360955,Brica Seat Guardian
,Safari,FALSE,targetcom,238.8,9,99.9.40,14471281,"Printer Paper, 8.5&amp;quot; x 11&amp;quot;, 750ct - up &amp; up&amp;trade;"
,Chrome,FALSE,targetcom,58.98,2,173.17.171,50856844,Geometric Metal Small Table Lamp - Room Essentials&amp;trade;
,Safari,FALSE,targetcom,237.98,1,100.37.37,16911471,Upholstered Slipper Chair - Avington
,Chrome,FALSE,targetcom,47.97,1,99.63.33,14549470,C9 Interlocking Mat
,Safari,FALSE,targetcom,159.28,6,217.164.17,14871888,Threshold&amp;trade; 34&amp;quot;x20&amp;quot; Textured Paisley Bath Rug
,Chrome Mobile,TRUE,targetcom,51.96,2,181.71.114,17286033,Dance Doll Outfit - Our Generation&amp;trade;
,Chrome,FALSE,targetcom,148.09,1,70.112.16,50534757,Safavieh Aldwin Rug
,Firefox,FALSE,targetcom,50,1,96.53.16,17213812,Puppy with Bullseye GiftCard
,IE,FALSE,targetcom,314.77,18,67.1.103,50486445,Snow White &amp; The Seven Dwarfs (Blu Ray)
,Chrome,FALSE,targetcom,131.96,3,73.44.30,14714009,Promotional Gift Card $25
,Safari,FALSE,targetcom,169.99,1,108.39.100,14528328,X-Base Vanity Set - Linon
,Chrome,FALSE,targetcom,53.88,1,73.55.154,17223557,Colgate Kids Minions Power Toothbrush
,Safari,FALSE,targetcom,135.15,4,172.90.103,24005832,Luvs Ultra Leakguards Diapers Box (Select Size)
,Other,FALSE,targetcom,24.99,1,100.15.87,14588391,Threshold&amp;trade; Hammered Metal Oval Beverage Tub
,Other,FALSE,targetcom,15.98,1,72.9.15,16346730,Travel Smart 3pk Continental Adapter Plug Set
,Chrome,FALSE,targetcom,100.14,6,67.190.232,13567790,OXO Angled Measuring Cup 4-c.
,Chrome,FALSE,targetcom,134.89,2,67.197.2,51129400,Babyganics Swim Diapers (Select Size)
,Chrome,FALSE,targetcom,59.99,1,68.114.100,13892315,Adjustable 5-Tier Wire Wide Shelving Unit - Black - Room Essentials&amp;trade;
,Chrome,FALSE,targetcom,25.99,1,108.29.66,10707864,MyBaby by Homedics SoundSpa - Lullaby Relaxation Machine
,Chrome,FALSE,targetcom,42.58,2,107.2.98,16710333,Babyganics Baby-Safe World Essentials Kit
,Safari,FALSE,targetcom,188.72,15,72.229.5,50854198,Textured Bath Towels - Threshold&amp;trade;
,Safari,FALSE,targetcom,69.99,2,76.121.191,50306752,Amope Pedi Perfect Wet Dry Electronic Pedicure Foot File and Callus Remover- 1 Count
,Safari,FALSE,targetcom,134.96,3,66.219.236,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,56.67,3,184.187.130,50476721,Secret Life of Pets Universal Backpack
,IE,FALSE,targetcom,109.96,4,12.40.175,15142094,Evenflo Amp High Back Booster Car Seat
,Safari,FALSE,targetcom,60.76,4,83.117.143,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,67.49,1,68.5.175,14539515,Trenton Saddle Seat Barstool Hardwood (Set of 2) - Threshold&amp;trade;
,Firefox,FALSE,targetcom,2982.45,11,62.47.190,15029409,Mid Century Modern Nightstand - Foremost
,Mobile Safari,TRUE,targetcom,39.99,1,104.10.217,50078493,UNICEF Kid Power Band - Blue
,Chrome,FALSE,targetcom,166.45,6,50.128.245,15262607,Huggies&amp;#174; Little Movers Diapers Giant Pack (Select Size)
,Chrome,FALSE,targetcom,200,2,73.147.36,15014122,$100 iTunes Code (email delivery)
,Chrome,FALSE,targetcom,74.98,2,50.142.78,13388077,KitchenAid&amp;#174; Black 15pc Kitchen Tool &amp; Gadget Set
,Chrome,FALSE,targetcom,117.48,2,66.110.199,50568007,Becker 9 Piece Comforter Set with Sheet Set
,Chrome,FALSE,targetcom,128.15,4,186.185.158,51088895,Huggies&amp;#174; Little Snugglers Diapers Super Pack with Natural Care Baby Wipes - (Select Size)
,Chrome,FALSE,targetcom,132.99,1,75.169.9,14963277,Porter Mid Century Modern Coffee Table
,Chrome,FALSE,targetcom,50,1,114.46.114,15014121,$50 iTunes Code (email delivery)
,IE,FALSE,targetcom,92.69,1,174.134.132,14546194,Carson Leaning Bookcase - Threshold&amp;trade;
,Firefox,FALSE,targetcom,128.96,4,173.58.49,15121671,Diapers Bulk Plus Pack (Select Size) - up &amp; up&amp;trade;
,Firefox,FALSE,targetcom,215.98,1,68.80.44,14546222,Carson Narrow Bookcase - Threshold&amp;trade;
,Chrome,FALSE,targetcom,118.37,3,50.171.215,16249131,Crayola Art Smock
,Firefox,FALSE,targetcom,102.15,8,68.47.23,14066252,Room Essentials&amp;trade; 2 Pack Pillow Protector - White (Standard)
,Chrome,FALSE,targetcom,69.99,1,104.230.223,51242239,Unlocked iPhone 4s 8GB Black - Certified Pre-Owned
,Chrome,FALSE,targetcom,229.99,1,24.193.70,51242595,Unlocked iPhone 5c 32GB White - Certified Pre-Owned
,Safari,FALSE,targetcom,123.49,1,75.191.184,14550115,Carson 5 Shelf Bookcase -Threshold&amp;trade;
,Other,FALSE,targetcom,29.99,1,108.132.182,11044678,JENSEN&amp;#174; Portable Stereo CD Cassette Recorder with AM/FM Radio
,Firefox,FALSE,targetcom,56.23,1,67.176.27,17021253,Riva End Table Painted Gray - Threshold&amp;trade;
,Chrome,FALSE,targetcom,36.96,4,76.109.168,24010653,Fisher-Price Wooden Toys Shape-imals Crab
,Safari,FALSE,targetcom,27.49,1,174.52.3,16369200,Disney Classic Friends Mickey Mouse Toddler Doll
,Firefox,FALSE,targetcom,55.98,1,108.50.136,50595894,Bedding Set Reversible Printed Striped Navy - Room Essentials&amp;trade;
,Chrome,FALSE,targetcom,44.99,1,50.46.223,13186395,Coleman&amp;#174; ComfortSmart&amp;trade; Air Mattress - Double High Queen
,Chrome,FALSE,targetcom,1157.44,5,71.65.246,15144672,Pillow Perfect &amp;trade; 2-Piece Outdoor Lumbar Pillows - Lois
,Chrome,FALSE,targetcom,59.98,1,73.5.193,49119842,PUR Pitcher Replacement Filter
,Safari,FALSE,targetcom,314.93,7,73.170.89,17206919,Tertera Burlap Rectangular Shelf Baskets - Set of 3
,Safari,FALSE,targetcom,99.99,1,99.18.109,17225161,Baby Trend A La Mode Snap Gear&amp;trade; 3-in-1 High Chair - Orion
,Chrome,FALSE,targetcom,33.54,4,23.236.82,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,27.77,3,76.180.45,50197547,Floral Placemat - Green - Threshold&amp;trade;
,Safari,FALSE,targetcom,109.97,2,104.12.138,13429669,Room Essentials&amp;trade; 5pc Metal Mesh Drawer Organizer Set
,Chrome,FALSE,targetcom,131.94,10,71.103.244,10523580,Revlon Perfect Heat Fast Dry Speed Hair Dryer
,IE,FALSE,targetcom,50,1,76.220.78,15014121,$50 iTunes Code (email delivery)
,Chrome,FALSE,targetcom,81.01,3,75.163.213,14634301,Boba Wrap Printed Baby Carrier - Stardust
,Safari,FALSE,targetcom,319.98,1,174.131.225,14604440,Shuttered Door TV Stand 45&amp;quot; - Threshold&amp;trade;
,Chrome,FALSE,targetcom,440.59,11,162.239.69,17142421,Baby Blanket Just One You CANPIN
,Chrome,FALSE,targetcom,440.59,11,162.239.69,12082570,Aveeno Baby Wash and Shampoo - 18 oz.
,Chrome,FALSE,targetcom,130.95,4,107.223.198,15122174,Pampers Swaddlers Diapers Giant Pack (Select Size)
,Chrome,FALSE,targetcom,49.98,1,75.97.35,14951492,Metallic Curtain Panel - Nate Berkus&amp;trade;
,Mobile Safari,TRUE,targetcom,49.99,1,14.198.206,13973831,Braun Epilator SE5185 Legs - Pink
,Safari,FALSE,targetcom,20.4,1,209.6.200,14769449,Penn Tennis Ball Champ 3pk
,Chrome,FALSE,targetcom,111.14,3,50.143.184,14471282,"Printer Paper, 8.5&amp;quot; x 11&amp;quot;, 400ct - up &amp; up&amp;trade;"
,Safari,FALSE,targetcom,27.49,2,76.114.252,16542545,S.W. Basics Eco Cotton Rounds - 8 Count
,Safari,FALSE,targetcom,31.96,1,68.193.49,17389048,Perfect Scents Impression of Light Blue - 2.5 oz
,Chrome,FALSE,targetcom,27.44,1,172.124.3,16362241,Intex 120&amp;quot; Swim Center Family Lounge Pool
,Chrome,FALSE,targetcom,77.96,3,69.121.117,14295268,Brica Baby In-Sight Soft-Touch&amp;trade; Auto Mirror for in Car Safety - Gray
,Chrome,FALSE,targetcom,2000,10,76.174.138,15031045,3D Thanks Gift Card
,Chrome,FALSE,targetcom,55.97,3,71.186.148,49156905,P90X Yoga Block -Black
,Firefox,FALSE,targetcom,84.98,2,76.181.59,13487610,"Kleenex Everyday Facial Tissues 160 Count, 6 Pack"
,Chrome,FALSE,targetcom,41.48,2,24.240.110,15531073,Franklin Sports Intermediate 6 Player Croquet Set
,Chrome,FALSE,targetcom,183.99,1,76.201.84,15742336,Biofresh&amp;#174; 4&amp;quot; Memory Foam Mattress Topper
,Other,FALSE,targetcom,45.97,3,174.103.241,14714006,Promotional Gift Card $5
,Other,FALSE,targetcom,54.99,1,24.42.200,14910510,Little Tikes Activity Garden
,Chrome,FALSE,targetcom,231.16,12,108.225.104,49174668,Munchkin Click Lock&amp;trade; 7oz Bite Proof&amp;trade; Trainer Cup - 2 Pack
,Chrome,FALSE,targetcom,269.99,1,73.26.27,15842703,Bryant 2-Piece Faux Wood Patio Chaise Lounge Set - Threshold&amp;trade;
,Chrome,FALSE,targetcom,49.99,1,96.226.244,50070285,Kinsa Smart Ear Thermometer
,Mobile Safari,TRUE,targetcom,22.39,1,70.197.66,13566592,Nicotine 4 mg Stop Smoking Aid Sugar Free Cherry Lozenge - 72 Count - up &amp; up&amp;trade;
,Firefox,FALSE,targetcom,13.99,1,50.133.22,,
,Chrome,FALSE,targetcom,49.99,1,80.254.150,18852358,Cuisinart 2 Slice Metal Classic Toaster CPT-160
,Safari,FALSE,targetcom,82.38,2,70.189.40,14174648,Performance Solid Bath Towels - Threshold&amp;trade;
,Chrome,FALSE,targetcom,71.38,1,50.247.87,17046330,Garland Quatrefoil Rug
,Chrome,FALSE,targetcom,449.96,4,72.219.142,13099898,Threshold&amp;trade; Chenille Jute Woven Rug
,Firefox,FALSE,targetcom,34.07,2,50.81.40,16293312,AZO Urinary Pain Relief&amp;trade; Maximum Strength Tablets - 24 Count
,Safari,FALSE,targetcom,52.48,2,68.117.48,14685371,Room Essentials&amp;trade; Shag Rug
,Chrome,FALSE,targetcom,40.48,2,172.90.44,26392746,Long Fur Throw (50&amp;quot;x60&amp;quot;) Cream - Xhilaration&amp;trade;
,Chrome,FALSE,targetcom,78.62,8,172.12.52,14228744,Percale Fitted Crib Sheet Pastel Dot
,Firefox,FALSE,targetcom,39.96,5,98.242.81,10910272,Olay Total Effects Moisturizer Plus Touch of Sun - 1.7 oz
